"Wins"	"Losses"	"WinPerc"	"FGM"	"FGA"	"FGPerc"	"FGM3"	"FGA3"	"FG3Perc"	"FTM"	"FTA"	"FTPerc"	"Oreb"	"Dreb"	"Assists"	"TO"	"Steals"	"Blocks"	"Fouls"	"OppFGM"	"OppFGA"	"OppFGPerc"	"OppFGM3"	"OppFGA3"	"OppFG3Perc"	"OppFTM"	"OppFTA"	"OppFTPerc"	"OppOreb"	"OppDreb"	"OppAssists"	"OppTO"	"OppSteals"	"OppBlocks"
"20031393"	24	5	0.828	29.2	62.2	0.469	5.2	15.9	0.327	16.4	23.6	0.695	14.3	26.9	15	13.6	8.3	7.3	16.6	25.2	64.6	0.39	6.9	22.6	0.305	12.6	18.9	0.667	15.8	22.3	15.9	14.4	6.6	3.1
"20041163"	27	6	0.818	30.1	62.6	0.481	6.4	16	0.4	12.5	20.2	0.619	15.3	29.5	18.2	13.8	6.2	8.7	16.1	23.8	64.4	0.37	5.6	17.2	0.326	10.8	16.1	0.671	13.7	21.6	12.1	12.4	7	3.6
"20051314"	27	4	0.871	30.5	61.4	0.497	7.4	18.5	0.4	20.5	27.9	0.735	13.8	26.5	19.3	16.7	10.4	3.8	18.1	24.4	60.5	0.403	7.6	22.3	0.341	13.9	19.3	0.72	11.8	20.8	13.3	19	9.1	5.2
"20061196"	27	6	0.818	27.6	54.4	0.507	7.4	18.8	0.394	16.6	22.6	0.735	10.6	24.6	17	14.9	8	4.9	16.1	23.5	57.7	0.407	6.1	18.7	0.326	11.6	17.5	0.663	12.3	19.7	11.3	16.3	7.5	2.7
"20071196"	29	5	0.853	28.6	54.2	0.528	7.2	17.6	0.409	15	22.1	0.679	11.1	26.1	15.8	14	7.1	4.8	15.7	23	57	0.404	5	17.5	0.286	10.5	16.3	0.644	10.9	18.9	10.6	13.5	6.9	2.6
"20081242"	30	3	0.909	29.5	58.4	0.505	6.8	17	0.4	15.5	21.9	0.708	12.3	26.4	18.5	12.9	9	6.1	17.4	21.4	55.8	0.384	7.2	21.3	0.338	11.6	17.2	0.674	10.8	20.1	11.5	15.8	6	2.7
"20091314"	27	4	0.871	31.4	66	0.476	6.8	18.3	0.372	19.9	25.9	0.768	15.2	27.3	18.2	13	8.3	5.3	15.9	27	65.1	0.415	7.5	21.3	0.352	11.4	16.4	0.695	12.8	22.3	14.3	15.7	7.4	4.6
"20101181"	29	5	0.853	26.5	60.2	0.44	7.6	19.8	0.384	17.4	22.8	0.763	14.6	24.4	13.9	11.1	6.9	4.2	18.5	22.4	55.4	0.404	3.9	13.7	0.285	13.1	19.1	0.686	11.8	21.4	11	14.8	5.3	3.9
"20111163"	26	9	0.743	26	60.1	0.433	5.8	17.6	0.33	15.6	20.6	0.757	14.4	25.1	13.1	11.7	6.6	5.6	16	24.3	60.6	0.401	6.3	18.9	0.333	11.4	16.6	0.687	13.3	22.1	12.5	12.1	6.2	3.8
"20121246"	32	2	0.941	27.3	56.6	0.482	5.7	15.4	0.37	16.3	22.6	0.721	12.5	26.6	13.2	11.4	6.3	8.8	14.6	21.5	58.6	0.367	5.6	17.6	0.318	10.3	15	0.687	12	19.9	10.5	11.9	5.5	3.3
